,Text,Username,Unnamed: 0,Datetime,polarity
104,"My friend @PeterSchiff will be joining The Best Business Show from 12:15-1p EST today as our inaugural guest.

While we disagree on the solution, there is no one better in the world at explaining the issues in the economy. 

Starting this whole thing off with a bang :)",APompliano,38410,2021-07-12 11:51:11+00:00,Neutral
105,"The Best Business Show merch store drops tomorrow morning.

These “Day One” shirts will only be sold during the month of July, so we’ll always know who was actually there from day one :) #BestBusinessShow https://t.co/8JfblBpDnY",APompliano,38423,2021-07-12 01:44:06+00:00,Positive
106,"Today I'm announcing a new investment in @yac.

People waste hours and hours in pointless meetings every week. 

The great folks at Yac are here to solve that problem with asynchronous communications.

Sign up: https://t.co/vK8yxJHlRb https://t.co/rEts5FmFKa",APompliano,38534,2021-07-07 14:30:21+00:00,Neutral
107,"“The only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion.” – Albert Camus

Happy 4th of July :)",APompliano,38647,2021-07-04 12:04:06+00:00,Positive
108,"This is a recent photo of Earth from the Cassini spacecraft, which is currently 1.5 billion kilometers away.

You can see our planet as a tiny spec below the rings of Saturn.

Great reminder of how insignificant we are in the solar system. https://t.co/X6p38YJ2HO",APompliano,38649,2021-07-04 03:23:49+00:00,Neutral
109,"5/5 This is an incredibly sad situation that has been going on for over 18 months.

No amount of tweets, opinion pieces, or aid will reverse the situation.

The true solution is sound money that can't be debased by a government or central bank.

Keep Lebanon in your thoughts 🙏🏽",APompliano,38748,2021-06-30 12:47:49+00:00,Neutral
110,"When you ask the best investors in the world what their greatest investment mistake has been, they will usually say some version of “I sold a great asset and should have held it forever.”",APompliano,38839,2021-06-27 14:23:20+00:00,Positive
111,"9/ If you want your child to have the skills for the modern age, look at @synthesischool:

- Independent thought
- Critical thinking
- Problem solving
- Leadership
- Teamwork
- Resourcefulness
- Creativity
- Result oriented

There is only one place to go: https://t.co/80bBYejka6",APompliano,38847,2021-06-26 22:28:32+00:00,Neutral
112,"7/ We are literally setting up our kids for failure.

The system is built to churn out obedient factory workers who do what they say in an Industrial Age.

That’s not what we need.

We need problem solvers and critical thinkers for the Digital Age.",APompliano,38849,2021-06-26 22:28:31+00:00,Neutral
113,"5/ The world needs as many entrepreneurs, innovators, and problem solvers as we can get.

There are immensely complex issues that need to be solved.

History has taught us that we can build a safer, more prosperous world for everyone to live in.

There is just one problem…",APompliano,38851,2021-06-26 22:28:31+00:00,Neutral
114,"4/ The people who covet knowledge seek to prove what they know, while the people who covet results seek to solve problems.

The true problem solvers think from first principles, leverage various mental models, and live at the intersection of various disciplines.",APompliano,38852,2021-06-26 22:28:30+00:00,Neutral
115,"2/ The people who have the best critical thinking and problem solving skills naturally pursue economic incentives to profit from their skills.

They become entrepreneurs, investors, and innovators.

The best thinkers flock to the private market.",APompliano,38854,2021-06-26 22:28:29+00:00,Neutral
116,"One of the biggest challenges facing society is that too many of our leaders are untrained in the art of critical thinking and problem solving.

The education system taught them WHAT to think, rather than HOW to think.

Time for a thread 👇🏼👇🏼👇🏼",APompliano,38856,2021-06-26 22:28:28+00:00,Neutral
117,"[NEW POST] Bitcoin Is Heavily Oversold &amp; Strong Hands Can't Stop Buying

@WClementeIII breaks down this week's on-chain metrics and explains how strong, long-term holders are accumulating at an incredible rate right now.

The on-chain metrics don't lie :)

https://t.co/tqY9CkvQlN",APompliano,39099,2021-06-18 12:30:55+00:00,Neutral
118,"New episode with @ShaanVP is now live!

- Solo-capitalists
- Copypreneurs
- Pros/cons of social reach
- Podcasts
- Newsletters
- Rolling funds
- Howard Stern
- Kanye West
- Joe Rogan
- Kardashians
- Mr Beast

This one is packed with info. Enjoy!

https://t.co/c5jLTxSqIF",APompliano,39196,2021-06-14 12:03:36+00:00,Neutral
119,"My conversation with @ShaanVP is now on YouTube.

- Solo-capitalists
- Copypreneurs
- Pros/cons of social reach
- Podcasts
- Newsletters
- Rolling funds
- Howard Stern
- Kanye West
- Joe Rogan
- Kardashians
- Mr Beast

This one is packed with info. Enjoy!

https://t.co/dpdQP9jHo5",APompliano,39197,2021-06-14 12:02:42+00:00,Neutral
120,"While some people argue we are living in the FOMO markets, the truth is that we are living in MANIPULATED markets. 

There is no one to blame for this chaos other than the interventionists who believe they are the only solution to every economic problem.

https://t.co/Ui79AEG5v6",APompliano,39207,2021-06-14 00:03:13+00:00,Neutral
121,"Technologists invented the solution to wealth inequality, yet some of you are listening to the elites as they tell you it is bad for you. #Bitcoin",APompliano,39220,2021-06-13 17:00:56+00:00,Negative
122,"Solid piece from @itstaylorlocke on how to increase security if you hold Bitcoin or other cryptocurrencies.

https://t.co/GC4WJbSbiw",APompliano,39271,2021-06-11 17:54:52+00:00,Neutral
